fips_code,white_percent,white,black,latino
13241,100,83,0,15
13243,0,6,91,1
13245,22,20,73,3
13247,0,22,60,12
13249,100,77,17,3
13251,0,45,52,1
13253,53,51,44,3
13255,63,47,44,5
13257,100,78,12,3
13259,0,7,92,1
13261,0,16,75,7
13263,0,9,91,0
13265,0,10,84,2
13267,74,54,25,19
13269,100,55,42,1
13271,100,54,43,1
13273,0,5,92,1
13275,90,50,44,3
13277,0,45,34,18
13279,41,52,32,13
13281,100,98,0,0
13283,100,56,40,1
13285,63,51,40,4
13287,0,38,55,6
13289,0,31,66,0
13291,100,94,0,3
13293,100,59,34,3
13295,100,89,5,2
13297,94,69,22,5
13299,72,54,36,5
13301,0,6,92,1
13303,0,31,64,1
13305,100,68,22,6
13307,0,44,48,5
13309,100,59,34,6
13311,100,91,1,3
13313,64,44,3,49
13315,100,54,41,3
13317,0,38,51,5
13319,0,37,57,3
13321,100,58,36,2
15001,14,17,1,7
15003,10,13,3,6
15007,10,18,1,5
15009,19,17,1,7
16001,100,83,2,9
16003,100,93,0,5
16005,100,83,1,8
16007,100,95,0,3
16009,89,75,0,5
16011,97,71,0,22
16013,95,62,0,35
16015,100,92,0,5
16017,100,90,0,4
16019,99,80,1,16
16021,100,88,1,6
16023,100,93,0,5
16025,100,89,0,9
16027,87,63,1,33
16029,100,91,0,7
16031,100,66,0,32
16033,55,48,0,51
16035,100,86,2,6
16037,100,91,0,7
16039,100,69,2,23
16041,100,90,0,7
16043,100,79,0,19
16045,100,84,0,12
16047,90,65,0,33
16049,100,91,1,5
16051,100,84,0,13
16053,64,55,0,44
16055,100,91,1,5
16057,100,90,1,4
16059,100,94,1,3
16061,100,81,0,5
16063,91,63,1,33
16065,100,91,1,7
16067,87,54,0,45
16069,99,80,0,4
16071,100,92,1,4
16073,100,62,0,36
16075,100,72,0,25
16077,74,50,0,38
16079,100,92,0,3
16081,100,74,0,25
16083,99,76,1,20
16085,100,92,0,6
16087,100,72,0,27
17001,100,88,7,1
17003,95,43,51,1
17005,100,91,3,1
17007,91,62,2,32
17009,100,97,0,0
17011,98,81,1,14
17013,100,96,0,1
17015,100,91,2,4
17017,84,62,4,32
17019,63,58,24,7
17021,100,95,1,1
17023,100,96,1,1
17025,100,96,1,2
17027,100,91,2,4
17029,100,90,3,2
17031,67,25,31,37
17033,100,95,1,1
17035,100,98,0,0
17037,98,75,6,13
17039,100,93,1,3
17041,100,85,0,11
17043,85,58,7,21
17045,100,96,0,1
17047,100,95,1,2
17049,100,95,1,2
17051,100,97,0,1
17053,100,95,1,3
17055,100,96,1,1
17057,100,96,1,1
17059,100,97,1,2
17061,100,98,0,0
17063,100,81,3,12
17065,100,96,1,1
17067,100,96,0,1
17069,100,94,2,1
17071,100,95,0,2
17073,100,87,3,8
17075,100,84,2,10
17077,89,68,19,5
17079,100,98,0,1
17081,100,82,11,2
17083,100,98,1,1
17085,100,93,1,4
17087,100,96,0,1
17089,85,47,6,40
17091,90,59,21,14
17093,93,64,7,21
17095,99,78,8,7
17097,88,53,7,29
17099,100,80,2,14
17101,100,96,1,1
17103,100,87,2,5
17105,100,90,1,5
17107,100,93,2,1
17109,100,86,5,3
17111,97,76,1,17
17113,94,71,12,7
17115,71,64,25,2
17117,100,96,1,1
17119,99,78,12,5
17121,100,88,5,1
17123,100,93,1,3
17125,100,97,0,1
17127,100,85,7,2
17129,100,96,1,1
17131,100,94,1,3
17133,100,96,0,2
17135,100,95,2,2
17137,100,86,6,2
17139,100,96,0,0
17141,96,80,1,14
17143,80,56,30,5
17145,100,90,3,2
17147,100,96,0,1
17149,100,97,0,1
17151,100,95,1,0
17153,62,48,43,0
17155,100,88,1,7
17157,100,89,6,1
17159,100,96,0,2
17161,81,60,15,19
17163,89,51,40,4
17165,100,88,4,2
17167,85,71,20,2
17169,100,96,1,1
17171,100,98,0,0
17173,100,98,1,0
17175,100,94,0,1
17177,85,71,15,6
17179,100,92,1,2
17181,100,89,1,8
17183,75,70,19,6
17185,100,96,0,1
17187,100,78,2,15
17189,100,96,1,2
17191,100,96,1,1
17193,100,96,0,1
17195,97,77,2,17
17197,81,57,13,21
17199,100,88,5,2
17201,69,54,19,19
17203,100,94,1,2
18001,100,88,1,8
18003,79,61,18,10
18005,100,80,2,9
18007,100,91,1,7
18009,100,96,0,1
18011,100,91,1,3
18013,100,94,0,1
18015,100,91,0,6
18017,96,72,1,22
18019,97,78,9,7
18021,100,96,0,2
18023,100,76,1,21
18025,100,96,0,2
18027,100,88,1,8
18029,100,96,0,1
18031,100,96,0,2
18033,100,93,1,3
18035,99,82,9,2
18037,100,89,0,9
18039,86,63,7,23
18041,100,95,1,1
18043,100,82,7,3
18045,100,93,0,3
18047,100,97,0,1
18049,100,89,0,6
18051,100,93,2,1
18053,98,78,9,4
18055,100,96,0,2
18057,100,82,4,4
18059,100,93,2,2
18061,100,95,1,2
18063,100,83,6,4
18065,100,94,1,2
18067,100,79,9,3
18069,100,94,0,2
18071,100,87,1,7
18073,100,89,1,7
18075,100,94,0,3
18077,100,92,2,3
18079,100,94,0,3
18081,100,89,1,4
18083,100,94,1,2
18085,100,82,1,14
18087,100,89,1,7
18089,83,41,32,22
18091,90,72,13,9
18093,100,95,0,2
18095,99,79,10,5
18097,60,41,37,14
18099,100,81,1,15
18101,100,97,0,1
18103,100,91,1,2
18105,100,81,4,4
18107,100,90,1,6
18109,100,95,1,2
18111,100,89,1,7
18113,97,79,0,18
18115,100,96,0,1
18117,100,95,1,1
18119,100,96,0,1
18121,100,95,0,2
18123,100,96,1,2
18125,100,97,0,1
18127,100,79,5,10
18129,100,92,2,2
18131,100,92,0,4
18133,100,94,1,2
18135,100,92,0,4
18137,100,97,0,1
18139,100,93,1,1
18141,78,59,20,11
18143,100,95,1,2
18145,100,90,1,5
18147,100,92,0,5
18149,100,93,0,5
18151,100,89,0,6
18153,100,96,0,2
18155,100,97,0,1
18157,97,71,7,14
18159,100,94,0,4
18161,100,97,0,0
18163,93,72,14,3
18165,100,95,0,2
18167,100,83,6,3
18169,100,94,0,2
18171,100,97,0,1
18173,100,91,1,2
18175,100,97,0,1
18177,99,83,5,3
18179,100,94,1,3
18181,100,85,0,10
18183,100,93,1,3
19001,100,96,0,1
19003,100,95,0,2
19005,90,85,1,13
19007,100,95,1,2
19009,100,96,0,1
19011,100,95,1,2
19013,91,69,17,7
19015,97,90,3,4
19017,100,96,1,1
19019,100,95,0,2
19021,75,50,3,36
19023,100,96,1,1
19025,100,94,1,3
19027,100,94,1,4
19029,100,94,1,3
19031,100,94,1,2
19033,100,87,3,6
19035,100,90,1,6
19037,100,96,0,3
19039,100,80,0,17
19041,100,90,1,7
19043,100,97,0,1
19045,100,86,4,5
19047,75,55,2,42
19049,95,85,2,8
19051,100,95,0,2
19053,100,93,1,3
19055,100,97,1,1
19057,100,79,10,5
19059,100,93,1,3
19061,99,87,5,3
19063,100,81,1,15
19065,100,93,0,2
19067,100,89,5,4
19069,100,75,1,23
19071,100,94,1,3
19073,100,91,0,5
19075,100,94,1,3
19077,100,94,1,4
19079,100,86,0,8
19081,100,88,1,8
19083,100,90,1,6
19085,100,95,0,3
19087,100,85,3,6
19089,100,94,0,2
19091,100,89,1,8
19093,100,93,1,5
19095,100,93,1,5
19097,100,93,1,2
19099,100,94,1,3
19101,100,91,1,4
19103,96,72,12,8
19105,100,95,1,2
19107,100,97,1,1
19109,100,94,0,3
19111,100,87,3,5
19113,99,82,8,4
19115,85,68,1,29
19117,100,98,0,1
19119,100,95,0,3
19121,100,95,1,2
19123,100,92,1,2
19125,100,94,1,2
19127,76,59,2,32
19129,100,94,1,3
19131,100,97,0,1
19133,100,93,2,3
19135,100,93,1,4
19137,100,92,0,6
19139,90,67,3,27
19141,100,89,1,8
19143,100,87,1,10
19145,96,87,5,4
19147,100,95,0,3
19149,100,90,1,6
19151,100,92,2,4
19153,87,68,9,13
19155,100,85,2,10
19157,100,91,1,4
19159,100,97,1,1
19161,100,93,1,4
19163,94,70,12,10
19165,100,95,1,2
19167,100,77,1,20
19169,100,84,4,5
19171,100,76,1,16
19173,100,85,0,14
19175,100,92,1,4
19177,100,96,1,2
19179,97,77,2,17
19181,100,92,1,3
19183,100,86,2,10
19185,100,96,1,2
19187,100,83,6,6
19189,100,91,1,5
19191,100,95,0,3
19193,88,65,4,23
19195,100,94,2,2
19197,100,80,1,17
20001,100,90,2,4
20003,100,94,1,3
20005,100,81,9,4
20007,100,93,1,4
20009,99,71,1,24
20011,100,89,4,3
20013,100,76,2,5
20015,100,87,1,6
20017,100,93,0,3
20019,100,82,3,6
20021,100,83,1,3
20023,100,86,0,12
20025,100,79,1,15
20027,100,92,1,3
20029,100,92,1,5
20031,100,93,0,3
20033,100,92,1,6
20035,99,70,3,16
20037,100,83,2,8
20039,100,90,1,5
20041,100,92,1,3
20043,100,91,3,3
20045,99,75,6,7
20047,100,63,1,32
20049,100,89,1,5
20051,98,86,1,8
20053,100,89,1,6
20055,32,28,1,65
20057,32,24,2,71
20059,100,90,2,5
20061,57,49,19,18
20063,100,92,2,4
20065,100,89,4,3
20067,0,32,0,65
20069,100,73,1,25
20071,100,71,0,24
20073,100,89,1,5
20075,47,51,0,47
20077,100,84,0,11
20079,96,74,2,20
20081,55,57,0,42
20083,100,85,2,9
20085,100,79,2,4
20087,100,93,1,3
20089,100,94,1,5
20091,98,74,6,11
20093,83,56,1,40
20095,100,94,0,3
20097,100,82,1,12
20099,100,75,6,6
20101,100,83,0,13
20103,98,76,8,8
20105,100,90,1,5
20107,100,94,1,2
20109,100,93,1,4
20111,58,53,2,39
20113,100,89,1,6
20115,100,91,1,5
20117,100,94,1,3
20119,90,71,1,26
20121,100,91,1,4
20123,100,95,0,2
20125,87,69,7,8
20127,100,91,1,6
20129,100,75,3,17
20131,100,94,1,2
20133,100,88,1,6
20135,100,78,0,20
20137,100,95,1,2
20139,100,92,1,4
20141,100,94,1,3
20143,100,94,2,3
20145,96,76,3,15
20147,100,89,2,4
20149,100,90,1,6
20151,100,83,0,13
20153,100,92,2,5
20155,99,79,3,13
20157,100,95,1,2
20159,100,77,2,18
20161,100,69,8,12
20163,100,96,1,2
20165,100,94,1,4
20167,100,91,2,4
20169,100,74,6,12
20171,100,69,1,26
20173,74,54,12,22
20175,0,21,2,72
20177,77,61,12,17
20179,100,90,0,7
20181,100,77,2,20
20183,100,94,0,2
20185,100,72,1,26
20187,45,49,0,44
20189,89,52,1,46
20191,100,87,1,7
20193,100,90,1,6
20195,100,94,2,2
20197,100,90,0,5
20199,100,92,0,7
20201,100,93,1,5
20203,100,60,0,39
20205,100,91,0,4
20207,100,90,0,2
20209,46,27,29,37
21001,100,92,2,4
21003,100,95,1,2
21005,100,92,2,2
21007,100,92,3,1
21009,100,88,5,4
21011,100,96,1,2
21013,100,96,2,0
21015,100,87,3,5
21017,100,78,8,11
21019,100,94,2,1
21021,100,82,8,4
21023,100,97,1,2
21025,100,98,1,0
21027,100,94,2,2
21029,100,95,1,2
21031,100,95,0,3
21033,100,90,6,1
21035,100,88,4,3
21037,100,90,4,2
21039,100,95,1,3
21041,100,85,2,9
21043,100,98,1,1
21045,100,94,0,4
21047,86,58,33,5
21049,100,87,6,4
21051,100,98,1,1
21053,100,95,0,4
21055,100,97,1,1
21057,100,93,2,1
21059,99,83,7,4
21061,100,96,0,1
21063,100,99,0,0
21065,100,99,1,0
21067,79,57,23,12
21069,100,95,2,2
21071,100,99,0,0
21073,100,78,10,5
21075,66,57,34,3
21077,100,88,1,8
21079,100,90,3,5
21081,100,94,1,3
21083,92,80,5,10
21085,100,97,1,1
21087,100,93,2,2
21089,100,96,1,1
21091,100,95,1,2
21093,94,72,16,5
21095,100,96,3,1
21097,100,93,2,3
21099,100,92,4,2
21101,100,83,9,3
21103,99,88,5,5
21105,100,85,10,1
21107,100,83,10,3
21109,100,99,0,0
21111,74,51,37,7
21113,100,89,5,3
21115,100,97,1,1
21117,97,83,8,4
21119,100,98,1,1
21121,100,97,1,1
21123,100,89,3,5
21125,100,96,1,1
21127,100,99,1,0
21129,100,98,1,0
21131,100,99,1,0
21133,100,99,1,1
21135,100,98,0,0
21137,100,92,2,3
21139,100,94,0,3
21141,100,86,8,3
21143,100,91,4,1
21145,85,74,18,3
21147,100,99,0,1
21149,100,96,1,3
21151,100,88,5,3
21153,100,98,0,1
21155,100,89,7,3
21157,100,98,0,1
21159,100,99,0,0
21161,100,85,8,2
21163,100,93,2,2
21165,100,97,0,1
21167,100,87,3,4
21169,100,97,1,2
21171,100,92,3,4
21173,100,92,2,4
21175,100,99,0,0
21177,100,93,4,1
21179,100,86,7,3
21181,100,95,0,3
21183,100,93,1,5
21185,100,89,3,5
21187,100,95,1,4
21189,100,99,1,0
21191,100,97,1,1
21193,100,95,3,1
21195,100,98,1,0
21197,100,98,1,1
21199,100,93,2,3
21201,100,97,0,2
21203,100,98,0,1
21205,100,94,1,2
21207,100,93,1,4
21209,100,84,7,6
21211,98,72,9,15
21213,100,82,11,3
21215,100,92,2,3
21217,100,89,4,3
21219,100,82,9,6
21221,100,83,10,2
21223,100,96,0,2
21225,100,85,11,1
21227,98,74,11,8
21229,100,83,11,6
21231,100,93,2,4
21233,100,85,3,9
21235,100,98,1,1
21237,100,99,0,1
21239,100,79,5,12
22001,82,68,27,2
22003,100,73,22,1
22005,93,62,30,5
22007,80,54,43,2
22009,70,50,46,1
22011,100,77,15,3
22013,73,45,53,1
22015,87,61,27,7
22017,72,29,67,3
22019,96,61,34,2
22021,100,78,19,2
22023,100,90,2,5
22025,80,57,41,1
22027,32,29,69,2
22029,93,49,49,1
22031,93,51,45,2
22033,68,21,71,4
22035,0,0,99,0
22037,68,26,73,0
22039,91,59,38,1
22041,74,48,51,1
22043,95,85,12,1
22045,74,46,47,3
22047,30,30,68,1
22049,80,62,36,1
22051,13,29,46,18
22053,97,72,22,1
22055,78,50,43,4
22057,86,66,21,5
22059,100,88,10,1
22061,68,48,47,3
22063,100,89,7,3
22065,0,5,93,1
22067,38,31,67,1
22069,51,39,57,1
22071,0,1,93,2
22073,84,51,47,1
22075,82,59,30,4
22077,38,37,59,2
22079,90,57,37,3
22081,0,30,66,1
22083,92,47,51,1
22085,74,50,22,3
22087,90,58,26,10
22089,91,56,34,6
22091,0,5,95,0
22093,30,33,65,1
22095,0,13,81,4
22097,69,40,58,1
22099,75,50,45,2
22101,77,46,43,6
22103,94,75,19,4
22105,82,55,39,3
22107,0,7,91,1
22109,76,56,28,4
22111,26,47,44,9
22113,89,72,20,3
22115,85,70,18,7
22117,83,56,41,2
22119,63,57,40,2
22121,85,45,52,2
22123,100,78,18,2
22125,100,58,40,1
22127,100,62,36,2
23001,99,85,11,2
23003,100,93,1,1
23005,98,87,6,2
23007,100,96,1,1
23009,100,94,1,2
23011,100,95,1,2
23013,100,96,1,1
23015,100,96,1,1
23017,100,96,1,1
23019,100,94,1,1
23021,100,95,1,2
23023,100,94,1,2
23025,100,96,1,1
23027,100,95,1,1
23029,100,92,1,2
23031,100,94,1,1
24001,100,90,4,1
24003,85,61,20,9
24005,78,45,38,6
24009,100,75,14,4
24011,100,69,16,9
24013,100,88,4,4
24015,100,81,8,5
24017,45,34,52,5
24019,51,53,37,4
24021,90,67,11,11
24023,100,97,0,1
24025,82,68,18,5
24027,67,47,21,8
24029,94,65,22,8
24031,47,34,21,26
24033,0,5,67,23
24035,100,85,7,3
24037,86,71,18,5
24039,50,45,42,6
24041,100,67,17,10
24043,96,74,12,6
24045,52,49,35,7
24047,84,68,20,6
24510,17,8,85,5
25001,99,85,4,4
25003,99,84,5,5
25005,94,77,5,11
25007,100,79,3,9
25009,94,66,3,25
25011,100,88,2,6
25013,86,52,10,33
25015,99,82,3,8
25017,91,69,7,11
25019,100,67,14,15
25021,96,76,7,5
25023,94,80,12,4
25025,25,17,30,44
25027,91,73,5,15
26001,100,97,0,1
26003,100,80,1,2
26005,97,87,2,8
26007,100,96,0,0
26009,100,91,1,3
26011,100,96,1,1
26013,92,68,0,0
26015,100,93,1,4
26017,100,88,3,6
26019,100,90,1,3
26021,94,66,22,7
26023,100,90,1,7
26025,88,70,15,7
26027,100,80,9,5
26029,100,90,1,2
26031,100,88,0,1
26033,87,59,1,1
26035,100,94,1,2
26037,100,89,1,6
26039,100,93,1,3
26041,100,91,0,1
26043,100,94,0,1
26045,94,82,6,6
26047,100,87,1,2
26049,91,67,25,3
26051,100,95,1,2
26053,95,91,1,1
26055,100,91,1,3
26057,100,90,1,7
26059,100,95,1,2
26061,100,96,1,0
26063,100,95,1,3
26065,83,60,20,10
26067,100,92,1,6
26069,100,94,1,2
26071,100,96,0,1
26073,100,83,3,3
26075,94,81,11,4
26077,86,67,19,6
